variant,strategy,tier,dev_n,dev_clv_pts,dev_clv_prob_pp,dev_ev_pct,dev_ev_z,dev_win_pct,dev_flat_roi_pct,y2025_n,y2025_clv_pts,y2025_clv_prob_pp,y2025_ev_pct,y2025_flat_roi_pct,kelly_2024_track_pp,kelly_2024_bets,kelly_2024_expected_growth_pct,kelly_2024_realized_growth_pct,kelly_2025_track_pp,kelly_2025_bets,kelly_2025_expected_growth_pct,kelly_2025_realized_growth_pct,dev_ev_holm_pass
reference,totals|A|sim_total,prior_week,557,0.1391,0.3845,-3.7109,-9.1402,49.5413,-5.3307,277,0.0361,0.1109,-4.192,-1.984,0.2348,0,0.0,0.0,0.3845,0,0.0,0.0,False
reference,totals|A|weather_total,in_week,557,0.1391,0.3815,-3.6543,-9.3833,50.2752,-3.9192,277,0.0975,0.2765,-3.9525,-6.1132,0.2733,0,0.0,0.0,0.3815,0,0.0,0.0,False
reference,totals|B|weather_total,in_week,557,0.2217,0.6239,-3.2286,-7.8294,51.9266,-0.8429,277,0.0505,0.1615,-3.9817,-7.4738,0.7492,0,0.0,0.0,0.6239,0,0.0,0.0,False
reference,totals|A|wired_W11_total,prior_week,557,0.0619,0.1661,-4.1798,-10.326,49.5413,-5.303,277,0.0469,0.1476,-4.1257,-4.0398,0.0943,0,0.0,0.0,0.1661,0,0.0,0.0,False
reference,totals|A|wired_W1_total,prior_week,204,0.1569,0.4515,-3.5684,-4.8035,49.2462,-5.8465,203,-0.0714,-0.1869,-4.8091,-3.918,,0,0.0,0.0,0.4515,0,0.0,0.0,False
reference,totals|C|wired_W1_total,prior_week,204,0.0833,0.2655,-3.9433,-5.3812,46.2312,-11.5161,203,0.1256,0.3726,-3.6902,-5.8329,,0,0.0,0.0,0.2655,0,0.0,0.0,False
reference,totals|A|wired_W2_total,prior_week,557,0.1715,0.4706,-3.6144,-8.0622,54.3119,3.587,277,-0.065,-0.1747,-4.8476,-6.0982,0.5786,0,0.0,0.0,0.4706,0,0.0,0.0,False
reference,totals|A|wired_W3_total,prior_week,557,0.1212,0.3373,-3.8502,-9.4038,50.4587,-3.5892,277,0.065,0.1925,-4.0353,-3.3565,0.1688,0,0.0,0.0,0.3373,0,0.0,0.0,False
reference,totals|A|wired_W4_total,prior_week,260,0.1846,0.5298,-3.4019,-7.0672,45.8498,-12.1752,258,0.0329,0.0838,-4.2966,1.5472,,0,0.0,0.0,0.5298,0,0.0,0.0,False
reference,totals|A|wired_W5_total,in_week,557,0.1068,0.2866,-3.958,-9.8945,50.0917,-4.3072,277,0.0758,0.2264,-4.0706,-1.2888,0.3783,0,0.0,0.0,0.2866,0,0.0,0.0,False
reference,totals|A|wired_W6_total,in_week,557,0.1122,0.3117,-3.8736,-10.8125,52.1101,-0.5427,277,0.0397,0.1275,-4.1851,-4.7379,0.0675,0,0.0,0.0,0.3117,0,0.0,0.0,False
reference,totals|A|wired_W8_total,prior_week,204,0.0882,0.2575,-3.8538,-5.2211,51.2563,-2.1031,203,0.0025,0.0195,-4.4216,-5.7948,,0,0.0,0.0,0.2575,0,0.0,0.0,False
reference,totals|C|wired_W8_total,prior_week,204,0.201,0.6102,-3.2933,-5.6443,49.2462,-5.9051,203,0.1256,0.3794,-3.6124,-9.5946,,0,0.0,0.0,0.6102,0,0.0,0.0,False
reference,totals|A|wired_W9_total,prior_week,557,0.202,0.5722,-3.332,-6.3297,50.8257,-2.9145,277,-0.0722,-0.2136,-4.8103,-0.5937,0.4666,0,0.0,0.0,0.5722,0,0.0,0.0,False
reference,totals|G|pool,prior_week,557,0.2181,0.6018,-3.3692,-7.292,49.3578,-5.6964,277,0.065,0.1947,-4.0325,-2.6642,0.6156,0,0.0,0.0,0.6018,0,0.0,0.0,False
best_book,spreads|B|market_anchor,opener,0,,,,,,,0,,,,,,0,0.0,0.0,,0,0.0,0.0,False
best_book,spreads|C|market_anchor,opener,0,,,,,,,0,,,,,,0,0.0,0.0,,0,0.0,0.0,False
best_book,totals|B|market_anchor,opener,0,,,,,,,0,,,,,,0,0.0,0.0,,0,0.0,0.0,False
best_book,totals|C|market_anchor,opener,0,,,,,,,0,,,,,,0,0.0,0.0,,0,0.0,0.0,False
best_book,totals|B|market_regression,opener,0,,,,,,,0,,,,,,0,0.0,0.0,,0,0.0,0.0,False
best_book,totals|C|market_regression,opener,0,,,,,,,0,,,,,,0,0.0,0.0,,0,0.0,0.0,False
reference,totals|A|wired_W10_total,prior_week,557,0.1032,0.2884,-3.9255,-10.0636,48.6239,-7.0304,277,0.065,0.199,-4.0456,-2.6703,0.1232,1,-0.008,0.1084,0.2884,0,0.0,0.0,False
best_book,totals|A|kalman_total,prior_week,557,0.816,2.2134,0.166,0.3398,53.5649,2.594,277,0.6408,1.8085,-1.4049,-2.0644,2.3356,118,0.0644,12.464,2.2134,53,-0.0769,0.4984,False
