read_at	http	secs	uptime_s	derived_start	crossed	interval_s
2026-09-20T03:07:24Z	200	12.472006	10	2026-09-20T03:07:26Z	crossed	60
2026-09-20T03:08:24Z	200	0.382648	58	2026-09-20T03:07:27Z	ok	60
2026-09-20T03:09:24Z	000	25.002685				60
2026-09-20T03:10:24Z	200	22.079595	18	2026-09-20T03:10:28Z	crossed	60
2026-09-20T03:11:24Z	200	0.380657	56	2026-09-20T03:10:28Z	ok	60
2026-09-20T03:12:24Z	000	25.001615				60
2026-09-20T03:13:24Z	200	17.251182	12	2026-09-20T03:13:30Z	crossed	60
2026-09-20T03:14:24Z	200	0.451390	55	2026-09-20T03:13:29Z	ok	60
2026-09-20T03:15:24Z	000	25.000891				60
2026-09-20T03:16:24Z	200	15.639977	12	2026-09-20T03:16:28Z	crossed	60
2026-09-20T03:17:24Z	200	0.387987	56	2026-09-20T03:16:28Z	ok	60
2026-09-20T03:18:24Z	000	25.000834				60
2026-09-20T03:19:24Z	200	23.620859	20	2026-09-20T03:19:27Z	crossed	60
2026-09-20T03:20:24Z	200	0.363599	57	2026-09-20T03:19:28Z	ok	60
2026-09-20T03:21:24Z	000	25.002047				60
2026-09-20T03:22:24Z	200	23.386517	19	2026-09-20T03:22:28Z	crossed	60
2026-09-20T03:23:24Z	200	0.501170	57	2026-09-20T03:22:28Z	ok	60
2026-09-20T03:24:24Z	000	25.002420				60
2026-09-20T03:25:24Z	200	16.087252	14	2026-09-20T03:25:26Z	crossed	60
2026-09-20T03:26:24Z	200	0.472979	58	2026-09-20T03:25:27Z	ok	60
2026-09-20T03:27:24Z	000	25.001927				60
2026-09-20T03:28:24Z	200	18.263232	16	2026-09-20T03:28:26Z	crossed	60
2026-09-20T03:29:24Z	200	0.425558	59	2026-09-20T03:28:26Z	ok	60
2026-09-20T03:30:24Z	000	25.002318				60
2026-09-20T03:31:24Z	200	18.171895	15	2026-09-20T03:31:27Z	crossed	60
2026-09-20T03:32:24Z	200	0.445539	57	2026-09-20T03:31:27Z	ok	60
2026-09-20T03:33:24Z	000	25.001178				60
2026-09-20T03:34:24Z	200	23.224734	19	2026-09-20T03:34:29Z	crossed	60
2026-09-20T03:35:24Z	200	0.391122	56	2026-09-20T03:34:28Z	ok	60
2026-09-20T03:36:24Z	000	25.001321				60
2026-09-20T03:37:24Z	200	18.271747	15	2026-09-20T03:37:28Z	crossed	60
2026-09-20T03:38:24Z	200	0.420660	57	2026-09-20T03:37:27Z	ok	60
2026-09-20T03:39:24Z	000	25.002447				60
2026-09-20T03:40:24Z	200	21.669436	18	2026-09-20T03:40:28Z	crossed	60
2026-09-20T03:41:24Z	200	0.435614	57	2026-09-20T03:40:27Z	ok	60
2026-09-20T03:42:24Z	000	25.001244				60
2026-09-20T03:43:24Z	200	14.096441	11	2026-09-20T03:43:27Z	crossed	60
2026-09-20T03:44:24Z	200	0.383999	58	2026-09-20T03:43:26Z	ok	60
2026-09-20T03:45:24Z	000	25.001354				60
2026-09-20T03:46:24Z	200	19.257102	15	2026-09-20T03:46:29Z	crossed	60
2026-09-20T03:47:24Z	200	0.399734	56	2026-09-20T03:46:28Z	ok	60
2026-09-20T03:48:24Z	000	25.002224				60
2026-09-20T03:49:24Z	200	21.672830	17	2026-09-20T03:49:29Z	crossed	60
2026-09-20T03:50:24Z	200	0.414425	56	2026-09-20T03:49:28Z	ok	60
2026-09-20T03:51:24Z	000	25.001691				60
2026-09-20T03:52:24Z	200	23.358721	19	2026-09-20T03:52:29Z	crossed	60
2026-09-20T03:53:24Z	200	0.316383	56	2026-09-20T03:52:28Z	ok	60
2026-09-20T03:54:24Z	000	25.001209				60
2026-09-20T03:55:24Z	200	19.307567	14	2026-09-20T03:55:30Z	crossed	60
2026-09-20T03:56:24Z	200	0.394377	55	2026-09-20T03:55:29Z	ok	60
2026-09-20T03:57:24Z	000	25.001238				60
2026-09-20T03:58:24Z	200	17.896983	14	2026-09-20T03:58:28Z	crossed	60
2026-09-20T03:59:24Z	200	0.472782	57	2026-09-20T03:58:28Z	ok	60
2026-09-20T04:00:24Z	000	25.001753				60
2026-09-20T04:01:24Z	200	17.786881	14	2026-09-20T04:01:28Z	crossed	60
