table,pick_path_status,pick_path_readers,other_prod_readers
nfl_teaser_execution_legs,used-outside-pick-path,,server/betting/nfl/strategy/teaser-season.js;server/migrations/012_teaser_execution_ledger.js;server/routes/wong.js;server/services/nfl-profitability.js
nfl_teaser_executions,used-outside-pick-path,,server/migrations/012_teaser_execution_ledger.js;server/routes/wong.js;server/services/nfl-profitability.js;server/services/nfl-teaser-execution.js
nfl_teaser_price_ledger,used-outside-pick-path,,server/betting/nfl/strategy/teaser-scan.js;server/betting/nfl/strategy/teaser-season.js;server/migrations/035_alt_spread_capture.js;server/routes/wong.js
nfl_top100,used-outside-pick-path,,server/routes/accolades.js;server/routes/edge.js;server/routes/nfldata.js;server/services/source-registry.js
nfl_total_calibrations,used-outside-pick-path,,server/services/nfl-total-calibration.js
nfl_total_picks,used-outside-pick-path,,server/services/nfl-pick-watch.js;server/services/nfl-props.js
nfl_tweet_line_watch,used-outside-pick-path,,server/services/nfl-profitability.js;server/services/nfl-tweet-line-correlation.js
nfl_user_bets,used-outside-pick-path,,server/services/nfl-user-bets.js
nfl_validation_windows,used-outside-pick-path,,server/services/nfl-evidence.js
nfl_verified_events,used-in-pick-path,server/services/nfl-event-archive.js,server/services/nfl-blind-audit.js;server/services/nfl-expert-council.js;server/services/nfl-model-growth.js;server/services/nfl-news-market-latency.js
nfl_weekly_expert_examples,used-in-pick-path,server/services/nfl-replay.js,server/services/nfl-execution-corridor.js;server/services/nfl-expert-coordinator.js;server/services/nfl-expert-council.js;server/services/nfl-postgame-truth.js
nflverse_player_positions,used-in-pick-path,server/services/nfl-pbp.js;server/services/nflverse.js,server/services/dynasty-age-curve.js;server/services/nfl-blind-audit.js;server/services/offseason-data.js;server/services/offseason-model.js
